SEC,W,MACH,AIRSPD,TEFLAPL,XIDA,T,ALTSTD,N1,PITCH
288,62183.01728,0.475,254,0,7.12,4.75,11821,94,6.68
289,62181.35811,0.477,255,0,7.12,4.75,11856,94,6.68
290,62179.69693,0.479,255,0,6.855,4.75,11888,94,6.5
291,62178.03776,0.48,256,0,6.765,4.75,11918,94,6.5
292,62176.37456,0.482,257,0,6.68,4.75,11952,94,6.68
293,62174.71136,0.484,257,0,6.68,4.75,11982,94,6.68
294,62173.04816,0.486,258,0,6.86,4.75,12015,94,6.86
295,62171.38294,0.487,259,0,6.86,4.75,12050,94,6.86
296,62169.71773,0.488,260,0,7.03,4.75,12086,94,7.03
297,62168.05654,0.488,260,0,7.21,4.75,12124,94,7.21
298,62166.39133,0.489,260,0,7.38,4.75,12162,94,7.38
299,62164.72813,0.49,260,0,7.38,4.75,12205,94,7.38
300,62163.06694,0.491,260,0,7.38,4.75,12246,94,7.38
301,62161.40173,0.492,261,0,7.21,4.5,12287,94,7.21
302,62159.73853,0.493,261,0,7.21,4.5,12329,94,7.21
303,62158.07331,0.495,262,0,7.21,4.5,12370,94,7.21
304,62156.4081,0.496,262,0,7.03,4.5,12409,94,7.03
305,62154.7449,0.497,263,0,7.21,4.5,12449,94,7.21
306,62153.07968,0.498,263,0,7.21,4.75,12488,94,7.21
307,62151.41245,0.499,263,0,7.21,4.75,12527,94,7.21
308,62149.75126,0.501,264,0,7.21,4.75,12568,94,7.21
309,62148.08403,0.503,265,0,7.38,4.75,12606,94,7.38
310,62146.42083,0.504,265,0,7.38,4.75,12647,95,7.38
311,62144.75158,0.505,266,0,7.56,4.75,12687,95,7.56
312,62143.08435,0.505,266,0,7.73,4.75,12731,95,7.73
313,62141.41712,0.505,266,0,7.73,4.5,12774,95,7.73
314,62139.74787,0.504,265,0,7.91,4.5,12819,95,7.91
315,62138.07459,0.504,265,0,7.91,4.5,12869,95,7.91
316,62136.40736,0.504,264,0,7.91,4.25,12916,95,7.91
317,62134.73811,0.506,265,0,7.73,4.25,12963,95,7.73
318,62133.06886,0.507,265,0,7.56,4.25,13012,95,7.56
319,62131.39962,0.508,266,0,7.56,4.25,13058,95,7.56
320,62129.73037,0.509,266,0,7.56,4.25,13104,95,7.56
321,62128.05507,0.51,266,0,7.56,4.25,13153,95,7.56
322,62126.38179,0.511,266,0,7.56,4.25,13201,95,7.56
323,62124.71053,0.511,266,0,7.56,4,13249,95,7.56
324,62123.03926,0.513,267,0,7.73,4,13298,95,7.73
325,62121.36598,0.515,268,0,7.73,4,13351,95,7.73
326,62119.6927,0.516,268,0,7.73,4,13401,95,7.73
327,62118.01741,0.517,268,0,7.91,4,13453,95,7.91
328,62116.3401,0.518,268,0,8.09,3.75,13508,95,8.09
329,62114.66278,0.519,269,0,8.26,3.75,13561,95,8.26
330,62112.98749,0.52,269,0,8.44,3.75,13615,95,8.44
331,62111.31018,0.52,269,0,8.44,3.75,13673,96,8.44
332,62109.63286,0.521,269,0,8.44,3.5,13730,95,8.44
333,62107.95555,0.522,269,0,8.61,3.5,13785,96,8.61
334,62106.27622,0.523,269,0,8.61,3.25,13846,96,8.61
335,62104.60093,0.523,269,0,8.61,3.25,13904,96,8.61
336,62102.92362,0.524,270,0,8.61,3,13963,96,8.61
337,62101.2463,0.525,270,0,8.61,3,14022,96,8.61
338,62099.56899,0.525,269,0,8.79,2.75,14087,96,8.79
339,62097.8937,0.525,269,0,8.79,2.75,14146,96,8.79
340,62096.21638,0.527,270,0,8.79,2.5,14208,96,8.79
341,62094.5431,0.527,270,0,8.61,2.5,14272,96,8.61
342,62092.87386,0.526,269,0,8.61,2.25,14333,96,8.61
343,62091.20259,0.527,269,0,8.44,2.25,14393,96,8.44
344,62089.53133,0.528,269,0,8.09,2.25,14455,96,8.09
345,62087.85805,0.528,269,0,7.91,2,14512,96,7.91
346,62086.18477,0.529,269,0,7.73,2,14566,96,7.73
347,62084.5135,0.529,269,0,7.56,1.75,14623,96,7.56
348,62082.83821,0.531,269,0,7.38,1.75,14674,96,7.38
349,62081.16291,0.533,270,0,7.38,1.75,14724,96,7.38
350,62079.4856,0.534,271,0,7.38,1.75,14773,96,7.38
351,62077.8103,0.535,271,0,7.56,1.75,14825,96,7.56
352,62076.13702,0.536,271,0,7.73,1.5,14874,97,7.73
353,62074.46374,0.537,271,0,7.73,1.5,14927,97,7.73
354,62072.79046,0.537,271,0,7.91,1.25,14982,97,7.91
355,62071.1192,0.538,271,0,8.09,1.25,15036,97,8.09
356,62069.44592,0.538,271,0,8.09,1,15091,97,8.09
357,62067.77264,0.539,271,0,8.09,1,15149,97,8.09
358,62066.10339,0.539,271,0,8.09,0.75,15205,97,8.09
359,62064.43818,0.54,271,0,8.09,0.75,15261,97,8.09
360,62062.77094,0.541,271,0,8.09,0.5,15319,97,8.09
361,62061.10573,0.542,271,0,8.09,0.5,15374,97,8.09
362,62059.44253,0.542,271,0,8.09,0.25,15425,97,8.09
363,62057.78538,0.542,271,0,8.09,0.25,15478,97,8.09
364,62056.12822,0.543,271,0,8.09,0.25,15533,97,8.09
365,62054.47309,0.543,271,0,8.09,0,15584,97,8.09
366,62052.824,0.543,271,0,8.09,0,15634,97,8.09
367,62051.17894,0.544,271,0,8.09,0,15687,97,8.09
368,62049.52986,0.545,271,0,8.09,-0.25,15737,97,8.09
369,62047.88682,0.545,271,0,8.09,-0.25,15787,97,8.09
370,62046.24378,0.548,272,0,8.09,-0.25,15840,97,8.09
371,62044.60275,0.547,272,0,8.09,-0.25,15890,97,8.09
372,62042.96374,0.546,271,0,8.26,-0.25,15940,97,8.26
373,62041.32474,0.545,270,0,8.26,-0.5,15994,97,8.26
374,62039.68774,0.546,270,0,8.26,-0.5,16046,97,8.26
375,62038.05882,0.547,270,0,8.09,-0.5,16098,97,8.09
376,62036.42989,0.548,271,0,7.91,-0.5,16150,97,7.91
377,62034.80298,0.55,270,0,7.91,-0.5,16205,97,7.91
378,62033.17808,0.551,271,0,7.91,-0.75,16255,97,7.91
379,62031.55117,0.552,271,0,7.91,-0.75,16305,97,7.91
380,62029.9303,0.554,272,0,7.91,-0.75,16358,97,7.91
381,62028.31146,0.555,273,0,7.91,-0.75,16409,97,7.91
382,62026.69462,0.557,273,0,7.91,-0.75,16460,97,7.91
383,62025.07981,0.558,274,0,8.09,-0.5,16516,97,8.09
384,62023.46499,0.558,273,0,8.09,-0.5,16569,97,8.09
385,62021.85219,0.558,273,0,8.26,-0.5,16623,97,8.26
386,62020.23939,0.559,273,0,8.26,-0.75,16684,97,8.26
387,62018.62861,0.559,273,0,8.26,-1,16741,97,8.26
388,62017.02186,0.56,274,0,8.26,-1,16797,97,8.26
389,62015.41712,0.561,273,0,8.26,-1,16852,97,8.26
390,62013.81642,0.561,273,0,8.26,-1,16912,97,8.26
391,62012.21571,0.561,273,0,8.26,-1.25,16970,97,8.26
392,62010.61501,0.561,273,0,8.09,-1.5,17026,97,8.09
393,62009.01834,0.562,273,0,7.91,-1.5,17083,97,7.91
394,62007.4257,0.564,273,0,7.73,-1.5,17135,97,7.73
395,62005.83306,0.567,273,0,7.56,-1.75,17186,97,7.56
396,62004.24243,0.57,275,0,7.38,-1.75,17240,97,7.38
397,62002.65181,0.569,275,0,7.38,-1.75,17287,97,7.38
398,62001.06118,0.569,275,0,7.56,-1.75,17335,97,7.56
399,61999.47459,0.57,275,0,7.56,-1.75,17386,97,7.56
400,61997.88598,0.571,275,0,7.56,-1.75,17433,97,7.56
401,61996.30141,0.572,275,0,7.56,-2,17482,97,7.56
402,61994.71482,0.571,275,0,7.73,-2,17533,97,7.73
403,61993.13427,0.572,275,0,7.73,-2.25,17586,97,7.73
404,61991.55574,0.572,275,0,7.73,-2.25,17637,97,7.73
405,61989.98125,0.573,274,0,7.91,-2.5,17687,97,7.91
406,61988.40877,0.574,275,0,7.91,-2.75,17744,97,7.91
407,61986.83629,0.575,275,0,7.73,-2.75,17797,97,7.73
408,61985.26582,0.573,275,0,7.91,-3,17852,97,7.91
409,61983.69939,0.574,274,0,7.91,-3,17909,97,7.91
410,61982.13498,0.575,274,0,7.73,-3.25,17963,97,7.73
411,61980.57258,0.576,274,0,7.73,-3.25,18017,97,7.73
412,61979.01219,0.576,274,0,7.56,-3.5,18076,97,7.56
413,61977.45382,0.578,274,0,7.56,-3.5,18131,97,7.56
414,61975.89546,0.577,275,0,7.56,-3.75,18185,97,7.56
415,61974.3391,0.578,274,0,7.56,-3.75,18238,97,7.56
416,61972.78477,0.58,274,0,7.56,-4,18295,97,7.56
417,61971.23446,0.579,275,0,7.56,-4,18350,97,7.56
418,61969.68618,0.58,275,0,7.38,-4.25,18402,97,7.38
419,61968.1399,0.581,274,0,7.38,-4.25,18457,97,7.38
420,61966.59363,0.582,275,0,7.38,-4.5,18509,97,7.38
421,61965.05139,0.583,275,0,7.38,-4.5,18560,97,7.38
422,61963.51318,0.586,275,0,7.38,-4.75,18614,97,7.38
423,61961.97094,0.587,276,0,7.38,-4.75,18665,97,7.38
424,61960.43274,0.586,276,0,7.38,-4.75,18718,97,7.38
425,61958.89654,0.588,276,0,7.56,-4.75,18774,97,7.56
426,61957.36237,0.589,277,0,7.56,-5,18829,97,7.56
427,61955.82618,0.588,277,0,7.73,-5,18882,97,7.73
